n_mfcc,model_name,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_ms,model_size_mb,best_params,cv_best_score
32,XGBoost,0.6641975308641975,0.49743589743589745,0.7185185185185186,0.5878787878787879,0.7645679012345679,52.71625090017915,0.8641290292143822,0.11537456512451172,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 1.0}",0.7611111111111111
32,LightGBM,0.7753086419753087,0.6486486486486487,0.7111111111111111,0.6784452296819788,0.8525102880658436,8.586350599769503,1.7344140028581023,0.5458478927612305,"{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}",0.6962962962962962
32,AdaBoost,0.762962962962963,0.693069306930693,0.5185185185185185,0.5932203389830508,0.8038408779149521,5.011156899854541,16.937383012846112,0.10683631896972656,"{'learning_rate': 1.0, 'n_estimators': 200}",0.5407407407407407
32,Decision Tree,0.582716049382716,0.43253968253968256,0.8074074074074075,0.5633074935400517,0.713744855967078,0.609935199841857,0.06982399616390467,0.004807472229003906,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.7648148148148147
32,K-Nearest Neighbors,0.8074074074074075,0.6887417218543046,0.7703703703703704,0.7272727272727273,0.8490672153635117,0.15673370007425547,1.6119930101558566,0.21075439453125,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6925925925925925
32,Naive Bayes,0.6395061728395062,0.47058823529411764,0.6518518518518519,0.546583850931677,0.7209053497942387,0.029331000056117773,0.2050520060583949,0.0015621185302734375,{'var_smoothing': 1e-09},0.6462962962962963
32,MLP Neural Network,0.8222222222222222,0.7266187050359713,0.7481481481481481,0.7372262773722628,0.884883401920439,45.460373799782246,0.1723949983716011,0.08858489990234375,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant'}",0.7222222222222223
64,Logistic Regression,0.6839506172839506,0.5185185185185185,0.725925925925926,0.6049382716049383,0.7709739368998628,0.1259023998863995,0.10563698597252369,0.0011882781982421875,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.688888888888889
64,Ridge Classifier,0.6641975308641975,0.49746192893401014,0.725925925925926,0.5903614457831325,0.7685048010973937,0.18907690001651645,0.07304799742996693,0.0010051727294921875,"{'alpha': 10.0, 'solver': 'saga'}",0.688888888888889
64,SVM (RBF),0.782716049382716,0.6620689655172414,0.7111111111111111,0.6857142857142857,0.8714951989026064,1.9690467999316752,8.568577016703784,0.49588584899902344,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.6925925925925925
